year,make,model,class,enginesize,fuelusecity,fuelusehwy,fueluseboth,mpgboth,co2emissions,cylinders468,cylinder4,cylinder6,cylinder8,trans2,fuel
2015,BMW,435i xDRIVE COUPE,COMPACT,3,12,8.30000019073486,10.3000001907349,27,237,6,0,1,0,2,2
2015,BMW,435i xDRIVE GRAN COUPE,COMPACT,3,11.8999996185303,7.80000019073486,10,28,230,6,0,1,0,1,2
2015,BMW,528i SEDAN,MID-SIZE,2,10.3999996185303,7.09999990463257,8.89999961853027,32,205,4,1,0,0,1,2
2015,BMW,528i xDRIVE SEDAN,MID-SIZE,2,10.6000003814697,7.19999980926514,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,535d xDRIVE SEDAN,MID-SIZE,3,9.19999980926514,6.30000019073486,7.90000009536743,36,213,6,0,1,0,1,3
2015,BMW,535i xDRIVE SEDAN,MID-SIZE,3,12.1000003814697,8.10000038146973,10.3000001907349,27,237,6,0,1,0,1,2
2015,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,12.8000001907349,8.89999961853027,11,26,253,6,0,1,0,1,2
2015,BMW,550i xDRIVE SEDAN,MID-SIZE,4.40000009536743,14.3999996185303,9.69999980926514,12.3000001907349,23,283,8,0,0,1,1,2
2015,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.40000009536743,15.1999998092651,9.80000019073486,12.8000001907349,22,294,8,0,0,1,1,2
2015,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3,12.1000003814697,8.10000038146973,10.3000001907349,27,237,6,0,1,0,1,2
2015,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,12.1000003814697,8.10000038146973,10.3000001907349,27,237,6,0,1,0,1,2
2015,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.40000009536743,15.1999998092651,9.80000019073486,12.8000001907349,22,294,8,0,0,1,1,2
2015,BMW,650i xDRIVE COUPE,COMPACT,4.40000009536743,14.3999996185303,9.69999980926514,12.3000001907349,23,283,8,0,0,1,1,2
2015,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.40000009536743,15.1999998092651,9.80000019073486,12.8000001907349,22,294,8,0,0,1,1,2
2015,BMW,740Ld xDRIVE SEDAN,FULL-SIZE,3,10.1999998092651,7.09999990463257,8.80000019073486,32,238,6,0,1,0,1,3
2015,BMW,740Li xDRIVE SEDAN,FULL-SIZE,3,12.1000003814697,8.10000038146973,10.3000001907349,27,237,6,0,1,0,1,2
2015,BMW,750i xDRIVE SEDAN,FULL-SIZE,4.40000009536743,15.1999998092651,9.80000019073486,12.8000001907349,22,294,8,0,0,1,1,2
2015,BMW,750Li xDRIVE SEDAN,FULL-SIZE,4.40000009536743,15.1999998092651,9.80000019073486,12.8000001907349,22,294,8,0,0,1,1,2
2015,BMW,ACTIVEHYBRID 3,COMPACT,3,9.69999980926514,7.5,8.69999980926514,32,200,6,0,1,0,1,2
2015,BMW,ACTIVEHYBRID 5,MID-SIZE,3,10.6000003814697,7.90000009536743,9.39999961853027,30,216,6,0,1,0,1,2
2015,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,10.6000003814697,7.69999980926514,9.30000019073486,30,214,6,0,1,0,1,2
2015,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.40000009536743,15.1999998092651,9.80000019073486,12.8000001907349,22,294,8,0,0,1,1,2
2015,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.40000009536743,15.1999998092651,9.80000019073486,12.8000001907349,22,294,8,0,0,1,1,2
2015,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.40000009536743,15.1999998092651,9.80000019073486,12.8000001907349,22,294,8,0,0,1,1,2
2015,BMW,M235i CABRIOLET,SUBCOMPACT,3,11.8000001907349,8.10000038146973,10.1999998092651,28,235,6,0,1,0,1,2
2015,BMW,M235i CABRIOLET,SUBCOMPACT,3,12.3000001907349,9,10.8000001907349,26,248,6,0,1,0,2,2
2015,BMW,M235i COUPE,SUBCOMPACT,3,11.8000001907349,8.10000038146973,10.1999998092651,28,235,6,0,1,0,1,2
2015,BMW,M235i COUPE,SUBCOMPACT,3,11.8999996185303,8.5,10.3999996185303,27,239,6,0,1,0,2,2
2015,BMW,M235i xDRIVE COUPE,SUBCOMPACT,3,11.8999996185303,7.80000019073486,10,28,230,6,0,1,0,1,2
2015,BMW,M3 SEDAN,COMPACT,3,14.1999998092651,9.60000038146973,12.1000003814697,23,278,6,0,1,0,1,2
2015,BMW,M3 SEDAN,COMPACT,3,13.6999998092651,9,11.6000003814697,24,267,6,0,1,0,2,2
2015,BMW,M4 CABRIOLET,SUBCOMPACT,3,14.1000003814697,9.69999980926514,12.1000003814697,23,278,6,0,1,0,1,2
2015,BMW,M4 CABRIOLET,SUBCOMPACT,3,14.1000003814697,9,11.8000001907349,24,271,6,0,1,0,2,2
2015,BMW,M4 COUPE,COMPACT,3,14.1000003814697,9.69999980926514,12.1000003814697,23,278,6,0,1,0,1,2
2015,BMW,M4 COUPE,COMPACT,3,13.6999998092651,9,11.6000003814697,24,267,6,0,1,0,2,2
2015,BMW,M5 SEDAN,MID-SIZE,4.40000009536743,17.2999992370605,11.5,14.6999998092651,19,338,8,0,0,1,1,2
2015,BMW,M5 SEDAN,MID-SIZE,4.40000009536743,16.1000003814697,10.8000001907349,13.6999998092651,21,315,8,0,0,1,2,2
2015,BMW,M6 CABRIOLET,SUBCOMPACT,4.40000009536743,17.2999992370605,11.5,14.6999998092651,19,338,8,0,0,1,1,2
2015,BMW,M6 CABRIOLET,SUBCOMPACT,4.40000009536743,16.1000003814697,10.8000001907349,13.6999998092651,21,315,8,0,0,1,2,2
2015,BMW,M6 COUPE,COMPACT,4.40000009536743,17.2999992370605,11.5,14.6999998092651,19,338,8,0,0,1,1,2
2015,BMW,M6 COUPE,COMPACT,4.40000009536743,16.1000003814697,10.8000001907349,13.6999998092651,21,315,8,0,0,1,2,2
2015,BMW,M6 GRAN COUPE,COMPACT,4.40000009536743,17.2999992370605,11.5,14.6999998092651,19,338,8,0,0,1,1,2
2015,BMW,M6 GRAN COUPE,COMPACT,4.40000009536743,16.1000003814697,10.8000001907349,13.6999998092651,21,315,8,0,0,1,2,2
2015,BMW,X1 xDRIVE28i,SUV - SMALL,2,10.6000003814697,7.19999980926514,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,X1 xDRIVE35i,SUV - SMALL,3,13.1999998092651,8.89999961853027,11.1999998092651,25,258,6,0,1,0,1,2
2015,BMW,X3 xDRIVE28d,SUV - SMALL,2,8.60000038146973,6.90000009536743,7.90000009536743,36,213,4,1,0,0,1,3
